N_star_train,N_galaxy_train,density_method,pS_bin_count,epsilon_floor,density_built_successfully,field,external_label_source,magnitude_bin,fold,band,cross_validation_used,notes
31,180,histogram_density,50,1e-06,True,ECDFS,HST,mag < 22,0,u,True,5-fold out-of-fold likelihood
33,188,histogram_density,50,1e-06,True,ECDFS,HST,mag < 22,0,g,True,5-fold out-of-fold likelihood
33,188,histogram_density,50,1e-06,True,ECDFS,HST,mag < 22,0,r,True,5-fold out-of-fold likelihood
32,188,histogram_density,50,1e-06,True,ECDFS,HST,mag < 22,0,i,True,5-fold out-of-fold likelihood
32,188,histogram_density,50,1e-06,True,ECDFS,HST,mag < 22,0,z,True,5-fold out-of-fold likelihood
32,188,histogram_density,50,1e-06,True,ECDFS,HST,mag < 22,0,y,True,5-fold out-of-fold likelihood
31,181,histogram_density,50,1e-06,True,ECDFS,HST,mag < 22,1,u,True,5-fold out-of-fold likelihood
33,188,histogram_density,50,1e-06,True,ECDFS,HST,mag < 22,1,g,True,5-fold out-of-fold likelihood
33,188,histogram_density,50,1e-06,True,ECDFS,HST,mag < 22,1,r,True,5-fold out-of-fold likelihood
32,188,histogram_density,50,1e-06,True,ECDFS,HST,mag < 22,1,i,True,5-fold out-of-fold likelihood
32,188,histogram_density,50,1e-06,True,ECDFS,HST,mag < 22,1,z,True,5-fold out-of-fold likelihood
32,188,histogram_density,50,1e-06,True,ECDFS,HST,mag < 22,1,y,True,5-fold out-of-fold likelihood
33,181,histogram_density,50,1e-06,True,ECDFS,HST,mag < 22,2,u,True,5-fold out-of-fold likelihood
34,188,histogram_density,50,1e-06,True,ECDFS,HST,mag < 22,2,g,True,5-fold out-of-fold likelihood
34,188,histogram_density,50,1e-06,True,ECDFS,HST,mag < 22,2,r,True,5-fold out-of-fold likelihood
34,188,histogram_density,50,1e-06,True,ECDFS,HST,mag < 22,2,i,True,5-fold out-of-fold likelihood
34,188,histogram_density,50,1e-06,True,ECDFS,HST,mag < 22,2,z,True,5-fold out-of-fold likelihood
34,188,histogram_density,50,1e-06,True,ECDFS,HST,mag < 22,2,y,True,5-fold out-of-fold likelihood
32,179,histogram_density,50,1e-06,True,ECDFS,HST,mag < 22,3,u,True,5-fold out-of-fold likelihood
34,188,histogram_density,50,1e-06,True,ECDFS,HST,mag < 22,3,g,True,5-fold out-of-fold likelihood
34,188,histogram_density,50,1e-06,True,ECDFS,HST,mag < 22,3,r,True,5-fold out-of-fold likelihood
33,188,histogram_density,50,1e-06,True,ECDFS,HST,mag < 22,3,i,True,5-fold out-of-fold likelihood
33,188,histogram_density,50,1e-06,True,ECDFS,HST,mag < 22,3,z,True,5-fold out-of-fold likelihood
33,188,histogram_density,50,1e-06,True,ECDFS,HST,mag < 22,3,y,True,5-fold out-of-fold likelihood
33,179,histogram_density,50,1e-06,True,ECDFS,HST,mag < 22,4,u,True,5-fold out-of-fold likelihood
34,188,histogram_density,50,1e-06,True,ECDFS,HST,mag < 22,4,g,True,5-fold out-of-fold likelihood
