field,external_label_source,method,combination,magnitude_bin,reference_magnitude_column,N_total,N_star,N_galaxy,N_valid_score,AUC,roc_computed,not_computed_reason,score_direction,number_of_bands_used_min,number_of_bands_used_median,number_of_bands_used_max,cross_validation_used,notes
ECDFS,HST,mean,r_only,mag < 22,dp2_cmodel_mag_r,277,42,235,277,0.999696048632219,True,,larger score is more star-like,1,1.0,1,False,
ECDFS,HST,mean,gri,mag < 22,dp2_cmodel_mag_r,277,42,235,277,0.9996960486322188,True,,larger score is more star-like,2,3.0,3,False,
ECDFS,HST,mean,ugrizy,mag < 22,dp2_cmodel_mag_r,277,42,235,277,0.998986828774063,True,,larger score is more star-like,3,6.0,6,False,
ECDFS,HST,mean,r_only,22 <= mag < 23,dp2_cmodel_mag_r,372,12,360,372,0.9854166666666666,True,,larger score is more star-like,1,1.0,1,False,
ECDFS,HST,mean,gri,22 <= mag < 23,dp2_cmodel_mag_r,372,12,360,372,0.9800925925925925,True,,larger score is more star-like,2,3.0,3,False,
ECDFS,HST,mean,ugrizy,22 <= mag < 23,dp2_cmodel_mag_r,372,12,360,372,0.9949074074074074,True,,larger score is more star-like,5,6.0,6,False,
ECDFS,HST,mean,r_only,23 <= mag < 24,dp2_cmodel_mag_r,949,16,933,949,0.9846596998928188,True,,larger score is more star-like,1,1.0,1,False,
ECDFS,HST,mean,gri,23 <= mag < 24,dp2_cmodel_mag_r,949,16,933,949,0.9882100750267954,True,,larger score is more star-like,2,3.0,3,False,
ECDFS,HST,mean,ugrizy,23 <= mag < 24,dp2_cmodel_mag_r,949,16,933,949,0.9815782422293676,True,,larger score is more star-like,4,6.0,6,False,
ECDFS,HST,mean,r_only,24 <= mag < 24.5,dp2_cmodel_mag_r,809,5,804,809,0.8718905472636816,True,,larger score is more star-like,1,1.0,1,False,
ECDFS,HST,mean,gri,24 <= mag < 24.5,dp2_cmodel_mag_r,809,5,804,809,0.8490049751243782,True,,larger score is more star-like,3,3.0,3,False,
ECDFS,HST,mean,ugrizy,24 <= mag < 24.5,dp2_cmodel_mag_r,809,5,804,809,0.8092039800995026,True,,larger score is more star-like,4,6.0,6,False,
ECDFS,HST,mean,r_only,24.5 <= mag < 25,dp2_cmodel_mag_r,1143,5,1138,1143,0.9486818980667837,True,,larger score is more star-like,1,1.0,1,False,
ECDFS,HST,mean,gri,24.5 <= mag < 25,dp2_cmodel_mag_r,1143,5,1138,1143,0.9289982425307557,True,,larger score is more star-like,2,3.0,3,False,
ECDFS,HST,mean,ugrizy,24.5 <= mag < 25,dp2_cmodel_mag_r,1143,5,1138,1143,0.9384885764499122,True,,larger score is more star-like,4,6.0,6,False,
ECDFS,HST,mean,r_only,25 <= mag < 25.5,dp2_cmodel_mag_r,1443,9,1434,1443,0.6758097009143035,True,,larger score is more star-like,1,1.0,1,False,
ECDFS,HST,mean,gri,25 <= mag < 25.5,dp2_cmodel_mag_r,1443,9,1434,1443,0.6422594142259415,True,,larger score is more star-like,2,3.0,3,False,
ECDFS,HST,mean,ugrizy,25 <= mag < 25.5,dp2_cmodel_mag_r,1443,9,1434,1443,0.683790485045715,True,,larger score is more star-like,3,6.0,6,False,
ECDFS,HST,mean,r_only,25.5 <= mag < 26,dp2_cmodel_mag_r,1379,7,1372,1379,0.5455018742190754,True,,larger score is more star-like,1,1.0,1,False,
ECDFS,HST,mean,gri,25.5 <= mag < 26,dp2_cmodel_mag_r,1379,7,1372,1379,0.5063515201999167,True,,larger score is more star-like,1,3.0,3,False,
ECDFS,HST,mean,ugrizy,25.5 <= mag < 26,dp2_cmodel_mag_r,1379,7,1372,1379,0.4906289046230737,True,,larger score is more star-like,2,5.0,6,False,
ECDFS,HST,mean,r_only,26 <= mag < 26.5,dp2_cmodel_mag_r,684,5,679,684,0.5805596465390279,True,,larger score is more star-like,1,1.0,1,False,
ECDFS,HST,mean,gri,26 <= mag < 26.5,dp2_cmodel_mag_r,684,5,679,684,0.5431516936671577,True,,larger score is more star-like,2,3.0,3,False,
ECDFS,HST,mean,ugrizy,26 <= mag < 26.5,dp2_cmodel_mag_r,684,5,679,684,0.5522827687776142,True,,larger score is more star-like,3,5.0,6,False,
ECDFS,HST,likelihood,r_only,mag < 22,dp2_cmodel_mag_r,277,42,235,277,0.9498480243161094,True,,larger score is more star-like,1,1.0,1,True,5-fold out-of-fold likelihood
