band,label,count,mean,median,std,p16,p84
g,galaxy,7042,0.7659756,1.0,0.4234176,0.0,1.0
g,star,255,0.1882353,0.0,0.39166868,0.0,1.0
i,galaxy,11997,0.84262735,1.0,0.36416695,1.0,1.0
i,star,342,0.24853802,0.0,0.43279853,0.0,1.0
r,galaxy,8059,0.80531085,1.0,0.3959858,0.0,1.0
r,star,299,0.26421404,0.0,0.44165298,0.0,1.0
u,galaxy,2055,0.63114357,1.0,0.48261237,0.0,1.0
u,star,121,0.3553719,0.0,0.480616,0.0,1.0
y,galaxy,2818,0.72391766,1.0,0.44713736,0.0,1.0
y,star,250,0.24,0.0,0.42793986,0.0,1.0
z,galaxy,7518,0.8169726,1.0,0.3867147,0.0,1.0
z,star,314,0.2388535,0.0,0.42706364,0.0,1.0
