band,label,count,mean,median,std,p16,p84
g,galaxy,13229,0.6776614695535473,1.0,0.45731119459575353,8.974192826724678e-30,1.0
g,star,341,0.8884132819322353,0.9835853276347091,0.2161230197785753,0.8288460374769185,1.0
i,galaxy,13451,0.1431896129845211,1.3543192209114591e-47,0.2724123031707706,0.0,0.55205535342066
i,star,347,0.7092031951605808,0.9882861736522153,0.4087029700535936,5.3238869809924445e-05,0.9970036278628711
r,galaxy,13376,0.08511345923125607,8.300337184648964e-18,0.15246316186437092,1.70157552375e-313,0.28177224633974046
r,star,346,0.6528509187049287,0.9572881139189744,0.39147921799695057,0.1319684641303625,0.9937585638106776
u,galaxy,2758,0.2555562865376958,4.839437082368158e-77,0.4332465061339845,0.0,1.0
u,star,115,0.8571473533741731,0.9904225472763387,0.3339425093057661,0.9420157785783655,0.9999741526667111
y,galaxy,10657,0.13661214122694745,0.003166090992858679,0.18903746371519442,3.4389290423304595e-58,0.38093228938019225
y,star,344,0.7342829489426613,0.964193173538967,0.3578147549993621,0.25626224358995864,0.9961973845131127
z,galaxy,13123,0.20251908152959539,3.362457274186556e-19,0.3446100649678885,0.0,0.775019477976894
z,star,347,0.7454439422905793,0.9500329054403013,0.3753317859954968,0.02240366716986813,0.9972962461598214
