band,label,count,mean,median,std,p16,p84
g,galaxy,13224,0.22165283190334542,4.366152268371789e-09,0.3872685798860921,8.837858241420902e-58,0.9389326526096368
g,star,341,0.7609563747286447,0.9712587222609764,0.38104063852003883,0.03216437113910323,0.9975046292253478
i,galaxy,13451,0.12220154631629915,7.892510167506635e-160,0.2833246453179321,0.0,0.2141827518266123
i,star,347,0.6666370898189444,0.8918703106898571,0.4139443852962604,1.6102719419513375e-08,0.9989574232427731
r,galaxy,13368,0.09405164037376529,2.131643762460315e-53,0.22110075295538872,0.0,0.15211911948621387
r,star,346,0.6617739336164705,0.8545970123826219,0.3860249777783382,0.006376083247613875,0.9978424892442398
u,galaxy,9537,0.04069204129163664,5.125779266520515e-26,0.11469448304535246,7.110643008231661e-175,0.011526910892333648
u,star,256,0.33773181042873973,0.2152160516026657,0.37340223217873725,1.6115658993291098e-14,0.9534376109823024
y,galaxy,10653,0.03363789043120957,4.731995480466113e-08,0.0682552871196404,6.373054583569949e-97,0.10110903928241578
y,star,344,0.5715989443886185,0.8099472643519456,0.4285372718486163,0.02892076321681644,0.9980515396101535
z,galaxy,13114,0.08197878770207301,8.298012279451367e-47,0.1958603381666111,0.0,0.11600220623285863
z,star,347,0.6803668237916951,0.9471739091744205,0.4005010418652778,0.004191133404745788,0.9995029390673389
