band,label,count_common,pS_mean,pS_median,extendedness_mean,extendedness_median,extendedness_star_mean,extendedness_star_median,pearson_corr
g,galaxy,7038,0.5151005149497171,0.7129475762780404,0.7662688493728638,1.0,0.23373118042945862,0.0,0.3698672097616867
i,galaxy,11996,0.14410618425721444,2.122265191199156e-55,0.8426142334938049,1.0,0.15738579630851746,0.0,0.8657771874085834
r,galaxy,8057,0.06440081806205288,1.9300407632779024e-32,0.8053866028785706,1.0,0.19461338222026825,0.0,0.3868534279936213
u,galaxy,1047,0.23917356660670308,8.111187366930121e-53,0.7650429606437683,1.0,0.2349570244550705,0.0,0.15540634492303265
y,galaxy,2738,0.1023007581573975,3.1321361419282735e-13,0.7348429560661316,1.0,0.2651570439338684,0.0,0.3089314784485457
z,galaxy,7513,0.15677589658765217,5.31776901957241e-55,0.8172500729560852,1.0,0.1827498972415924,0.0,0.32746622783772256
g,star,255,0.8725827215526137,0.950473187396537,0.1882352977991104,0.0,0.8117647171020508,1.0,0.12287138729199845
i,star,342,0.7191770268704979,0.9889506014102301,0.24853801727294922,0.0,0.7514619827270508,1.0,0.8931779787764949
r,star,298,0.7218636247329507,0.9793792585944969,0.2651006579399109,0.0,0.7348993420600891,1.0,0.5669850257002677
u,star,92,0.9313446064079642,0.9907462930413324,0.32608696818351746,0.0,0.6739130616188049,1.0,0.15836315492724276
y,star,248,0.8818532148475258,0.9930717963542217,0.23790322244167328,0.0,0.7620967626571655,1.0,0.42634952896788897
z,star,314,0.7678847667932929,0.9616392804178935,0.23885349929332733,0.0,0.7611464858055115,1.0,0.4807444147684689
