band,label,count_common,pS_mean,pS_median,extendedness_mean,extendedness_median,extendedness_star_mean,extendedness_star_median,pearson_corr
g,galaxy,7038,0.11713621902344461,3.361702908378008e-11,0.7662688493728638,1.0,0.23373118042945862,0.0,0.37511809945677876
i,galaxy,11995,0.14220367451422095,2.7217457578062197e-143,0.8426844477653503,1.0,0.15731555223464966,0.0,0.9255874871988108
r,galaxy,8057,0.10322427243897825,6.329094931342628e-59,0.8053866028785706,1.0,0.19461338222026825,0.0,0.3700384667536367
u,galaxy,1925,0.09787707401523478,2.6039221906684768e-11,0.6587013006210327,1.0,0.3412986993789673,0.0,0.2137328464204729
y,galaxy,2738,0.0797017595868497,1.1014585489166586e-14,0.7348429560661316,1.0,0.2651570439338684,0.0,0.2969670216459746
z,galaxy,7513,0.10393792545514165,1.8223414864600262e-61,0.8172500729560852,1.0,0.1827498972415924,0.0,0.307720179500043
g,star,255,0.6878321388475962,0.7308526428696644,0.1882352977991104,0.0,0.8117647171020508,1.0,0.3383069127049011
i,star,342,0.6705069593582507,0.9277501364965255,0.24853801727294922,0.0,0.7514619827270508,1.0,0.8396508590460233
r,star,298,0.7580216718634768,0.9249435017080954,0.2651006579399109,0.0,0.7348993420600891,1.0,0.5105383806632976
u,star,117,0.7070771357594304,0.9431150862941985,0.36752137541770935,0.0,0.632478654384613,1.0,0.3471827760929836
y,star,248,0.7840176493913896,0.9786520010475859,0.23790322244167328,0.0,0.7620967626571655,1.0,0.531885920697615
z,star,314,0.7381733814905959,0.9481957655489748,0.23885349929332733,0.0,0.7611464858055115,1.0,0.5154379404678721
