band,label,count,mean,median,std,p16,p84
g,galaxy,11471,0.8479644,1.0,0.35907102,1.0,1.0
g,star,294,0.26190478,0.0,0.44042072,0.0,1.0
i,galaxy,14510,0.84162647,1.0,0.36510348,1.0,1.0
i,star,349,0.24068768,0.0,0.4281148,0.0,1.0
r,galaxy,13057,0.8514973,1.0,0.35561123,1.0,1.0
r,star,328,0.24695122,0.0,0.431897,0.0,1.0
u,galaxy,2326,0.68142736,1.0,0.46602306,0.0,1.0
u,star,106,0.31132075,0.0,0.46523333,0.0,1.0
y,galaxy,3789,0.71443653,1.0,0.451742,0.0,1.0
y,star,273,0.24542125,0.0,0.431127,0.0,1.0
z,galaxy,10090,0.8109019,1.0,0.39160594,0.0,1.0
z,star,340,0.2,0.0,0.40058953,0.0,1.0
