band,label,count,mean,median,std,p16,p84
g,galaxy,17416,0.0014683590932993097,0.0,0.034427852905677396,0.0,0.0
g,star,355,0.4562788505683455,5.506907124634568e-10,0.48241394230202295,0.0,0.9897286587722165
i,galaxy,17462,0.15533977875777216,6.7664024047684595e-34,0.3067336878085382,0.0,0.6451084272933968
i,star,355,0.698283535101744,0.9645335337909452,0.39271033190901794,0.024025231114020995,0.998852353817091
r,galaxy,17465,0.16275617258286096,1.0768035294875307e-15,0.2951465125452847,1.2436097721070757e-269,0.7014123060565798
r,star,355,0.6969031174327663,0.9049609902961085,0.3824219442244763,0.002263646820951128,0.9967312874775628
u,galaxy,15005,0.20000242249747033,3.361519889899787e-05,0.3164651672937321,2.640781256781973e-36,0.6953813566071316
u,star,313,0.33297403336783143,0.03889027024885165,0.38380201273667747,8.229293863989639e-22,0.8712919486933282
y,galaxy,14612,0.3024431922643124,4.4319451036281075e-10,0.42805572043968904,3.8479040706566146e-58,0.9607939764342027
y,star,352,0.6698980482392198,0.9115556169453587,0.4151211643463846,9.847912721631088e-08,0.986459840594792
z,galaxy,17236,0.13143739982073724,5.475489558763365e-42,0.27042023689778216,0.0,0.49482505395104476
z,star,357,0.7682839707529417,0.9821952948516613,0.37968695621903414,0.008749410751553466,0.9968283559113028
