band,label,count,mean,median,std,p16,p84
g,galaxy,17414,0.11370030906381358,2.9664460708235567e-71,0.27683884441911005,0.0,0.047140509066841835
g,star,355,0.5074627785436209,0.813877388951343,0.4523547597130713,1.7446811659958772e-95,0.9933351014903037
i,galaxy,17463,0.14118644902977417,7.487402602559282e-76,0.30772504679987195,0.0,0.4969074841006559
i,star,355,0.7373472325097811,0.9547112255370779,0.37943270238079624,0.0009357204609072464,0.9993134398023236
r,galaxy,17465,0.11438137789787663,5.5750982906030896e-67,0.27091556367776104,0.0,0.1259194400882669
r,star,355,0.6656646268187715,0.8587976788570786,0.4074223230317819,7.972028835420102e-13,0.9970649876767904
u,galaxy,15005,0.1817731683775855,9.6023176868987e-15,0.3341229743158586,1.2880203239301431e-65,0.7621764709489279
u,star,313,0.286957896273329,3.4230053135213165e-05,0.3917178368855439,6.586938650324085e-44,0.864563894749669
y,galaxy,14600,0.2258243339051842,5.1370481353932336e-14,0.36109682375422547,1.1974071885975634e-72,0.8442389847126949
y,star,352,0.6484395430275737,0.9067341476769976,0.42372182738479536,5.267067706672556e-09,0.9966022110695013
z,galaxy,17236,0.16706982280103916,4.833825380051902e-62,0.33602625970072547,6.420696602078166e-284,0.7631976030325779
z,star,357,0.750978972287578,0.9173745307391747,0.3765627606793926,0.004140524299725498,0.998101282298182
