band,label,count_common,pS_mean,pS_median,extendedness_mean,extendedness_median,extendedness_star_mean,extendedness_star_median,pearson_corr
g,galaxy,11471,0.002229355938357665,0.0,0.8479644060134888,1.0,0.15203556418418884,0.0,0.06685151896185978
i,galaxy,14509,0.163845581534953,3.328384303695135e-33,0.8416844606399536,1.0,0.1583155244588852,0.0,0.793940527372589
r,galaxy,13057,0.18264050353454964,4.2226995295633724e-15,0.8514972925186157,1.0,0.14850272238254547,0.0,0.7871209175568074
u,galaxy,2320,0.35775704700236893,0.029615645593568107,0.6831896305084229,1.0,0.31681033968925476,0.0,0.7593705378596958
y,galaxy,3775,0.3967923679603121,4.9918190434589754e-05,0.7165563106536865,1.0,0.28344371914863586,0.0,0.7352663642190643
z,galaxy,10085,0.17813214121868762,2.0448676598099663e-34,0.811204731464386,1.0,0.18879523873329163,0.0,0.8337401587617589
g,star,294,0.5509489522168798,0.9444069251602026,0.261904776096344,0.0,0.738095223903656,1.0,0.5792051976760835
i,star,349,0.7077635781725186,0.967955281649234,0.24068768322467804,0.0,0.7593123316764832,1.0,0.8169570692793016
r,star,328,0.7393658498822643,0.9371233805805583,0.24695122241973877,0.0,0.7530487775802612,1.0,0.8991723133142528
u,star,104,0.6100856988276792,0.8591146453353277,0.3173076808452606,0.0,0.682692289352417,1.0,0.6295351815946378
y,star,273,0.7820905171253024,0.9424291059644168,0.24542124569416046,0.0,0.7545787692070007,1.0,0.8528143875300308
z,star,340,0.8027204994406304,0.9831740045947404,0.20000000298023224,0.0,0.800000011920929,1.0,0.9216087633867246
