band,label,count_common,pS_mean,pS_median,extendedness_mean,extendedness_median,extendedness_star_mean,extendedness_star_median,pearson_corr
g,galaxy,11471,0.14708428155957715,6.419925892630048e-39,0.8479644060134888,1.0,0.15203556418418884,0.0,0.9276312071767071
i,galaxy,14509,0.15746583125656163,2.0800947124879243e-55,0.8416844606399536,1.0,0.1583155244588852,0.0,0.9349589301885256
r,galaxy,13057,0.1399298728944296,2.4834216903259863e-43,0.8514972925186157,1.0,0.14850272238254547,0.0,0.9390430596254442
u,galaxy,2320,0.34864024287584416,0.0015152793540623454,0.6831896305084229,1.0,0.31681033968925476,0.0,0.7707745394989188
y,galaxy,3772,0.35004441888295373,3.725845719474528e-05,0.717126190662384,1.0,0.28287380933761597,0.0,0.7614234384025991
z,galaxy,10085,0.21211514359412378,2.911785491625258e-36,0.811204731464386,1.0,0.18879523873329163,0.0,0.8806904541928372
g,star,294,0.5916922571291842,0.8720267782358571,0.261904776096344,0.0,0.738095223903656,1.0,0.7015437866959316
i,star,349,0.7478682946193828,0.958279053808688,0.24068768322467804,0.0,0.7593123316764832,1.0,0.9393343411125932
r,star,328,0.7162366821944853,0.8915867499709949,0.24695122241973877,0.0,0.7530487775802612,1.0,0.9458883817348971
u,star,104,0.5425997365873693,0.7851130118415284,0.3173076808452606,0.0,0.682692289352417,1.0,0.5442476459690132
y,star,273,0.7727049741168286,0.9292145966661716,0.24542124569416046,0.0,0.7545787692070007,1.0,0.8843813168829924
z,star,340,0.7841524293277823,0.9213189619881141,0.20000000298023224,0.0,0.800000011920929,1.0,0.9332590995435689
