rmag,imag
26.414,26.116
26.054,25.447
24.643,23.431
22.571,21.555
24.573,24.113
25.141,24.336
16.36,16.262
25.227,24.84
24.602,24.075
26.214,25.642
23.4,23.269
22.581,22.234
24.042,22.354
24.534,24.045
20.522,20.336
26.24,25.666
22.265,21.824
26.207,25.795
25.495,24.948
26.217,25.577
24.5,24.122
23.925,23.412
26.307,26.007
22.94,21.551
23.582,22.102
21.086,20.865
24.618,24.256
26.763,26.305
22.662,21.2
26.934,26.166
23.074,22.351
24.634,23.281
25.064,24.634
26.189,25.251
23.979,23.621
26.077,25.707
24.892,24.577
23.271,23.081
22.993,21.619
23.469,23.39
26.766,25.963
25.784,24.019
23.433,23.349
25.851,25.508
25.271,24.835
22.096,21.7
23.688,22.954
24.361,23.991
26.593,26.344
25.303,25.058
26.963,26.883
22.796,22.22
25.513,25.117
25.417,23.588
22.11,21.834
24.969,24.618
25.62,25.346
24.836,24.3
25.873,25.65
23.971,23.544
26.756,26.483
23.8,22.692
26.236,25.878
24.847,24.52
18.993,18.886
22.803,22.587
25.061,24.456
26.844,26.571
22.984,21.63
24.153,23.631
16.263,16.069
23.747,23.05
24.602,23.99
24.48,23.992
21.967,21.375
26.55,25.975
20.297,18.8
26.673,26.332
25.851,25.364
25.198,24.764
25.905,25.605
23.023,22.028
16.698,16.459
26.177,25.976
24.248,23.834
23.879,22.637
21.96,21.891
20.774,19.335
23.777,22.351
17.478,17.251
21.287,21.195
25.537,25.195
25.099,24.785
25.215,22.778
25.445,24.837
20.439,19.238
24.671,24.582
25.01,24.548
25.259,24.994
24.252,23.587
25.059,23.008
21.444,21.352
24.269,23.34
23.594,23.515
26.507,26.008
23.968,23.786
24.438,22.773
20.975,20.487
23.65,23.502
23.537,23.453
26.619,26.203
26.189,25.926
26.864,26.235
22.177,22.086
11.076,10.98
24.033,23.187
18.672,17.779
24.434,24.359
26.399,25.731
26.807,26.681
25.583,25.278
25.655,25.293
22.417,21.047
25.503,25.153
26.285,26.172
19.556,19.487
23.257,22.521
22.097,21.797
21.363,21.083
19.693,19.501
26.711,26.524
24.349,24.105
26.467,25.591
25.734,25.351
24.387,24.012
21.743,21.622
25.749,25.304
26.552,26.064
25.393,25.146
22.131,21.964
25.325,24.897
20.385,19.98
25.116,24.621
22.32,22.219
21.224,20.937
17.369,17.115
21.271,20.132
25.716,25.263
26.814,26.366
25.46,25.091
25.763,23.155
18.235,17.313
25.595,24.953
25.947,25.628
26.835,26.241
26.45,25.458
23.73,23.196
24.886,24.815
25.237,24.754
22.451,22.361
26.824,26.274
22.506,21.261
26.151,25.571
23.428,23.036
23.204,21.721
20.88,20.778
26.471,26.237
24.952,23.607
22.713,22.576
24.072,22.937
25.283,25.194
26.54,26.323
26.665,26.334
19.28,19.224
26.051,25.615
25.516,24.905
26.302,25.914
26.484,26.044
25.989,25.419
25.933,24.972
24.633,24.043
24.261,22.392
23.669,22.993
21.751,21.583
25.82,25.26
21.438,19.835
24.847,24.465
19.759,19.053
25.575,25.155
26.634,24.103
17.975,17.239
21.804,20.73
26.969,26.56
18.919,18.618
22.459,22.036
26.696,26.188
26.22,25.754
23.669,23.244
22.371,21.115
24.584,22.403
22.891,21.458
26.529,26.131
26.175,25.56
22.538,21.808
26.78,26.341
25.786,25.202
22.775,22.026
19.207,18.217
25.165,24.888
23.652,23.559
26.237,25.813
20.503,20.329
26.899,26.511
20.91,20.239
24.888,24.706
25.873,25.351
22.437,22.129
16.34,16.107
20.373,20.293
23.067,22.842
22.167,20.774
24.724,24.29
25.032,24.36
26.969,26.175
20.156,20.036
26.825,26.346
25.5,25.073
24.685,24.304
26.531,26.236
26.514,26.033
24.742,23.486
22.565,22.466
24.58,24.5
26.893,26.294
25.395,24.916
22.468,21.699
18.985,18.642
25.504,25.077
23.122,23.016
23.146,23.047
23.896,23.73
25.222,25.056
21.969,21.764
24.115,24.047
25.048,24.827
26.168,25.931
18.276,18.011
22.271,22.066
25.713,24.238
22.325,22.044
23.804,23.502
24.945,24.681
25.753,25.49
21.93,20.741
26.495,26.235
26.572,26.34
24.669,24.241
23.527,23.053
25.921,25.488
26.543,25.981
21.788,21.063
23.62,23.198
24.12,23.387
25.991,25.531
20.765,20.408
25.536,23.336
26.092,25.731
18.123,17.782
25.03,24.901
20.886,20.063
25.268,25.184
22.077,21.683
22.768,22.603
21.844,21.437
26.784,26.107
26.376,25.394
26.423,24.956
26.593,26.123
26.977,26.248
24.972,24.228
23.206,21.99
23.024,22.91
22.58,20.561
26.087,25.595
20.955,20.117
24.664,24.1
24.662,23.621
26.31,26.042
24.497,24.108
21.04,20.071
25.826,25.549
26.809,26.38
22.482,21.702
26.254,25.865
24.237,23.985
24.178,23.785
24.319,24.259
23.145,23.028
23.752,22.496
22.09,21.081
21.699,19.837
21.239,20.529
13.346,13.254
26.916,26.449
26.944,26.58
25.98,25.857
26.965,26.501
25.523,24.937
24.624,23.413
24.537,23.677
25.482,24.874
21.625,20.386
25.088,24.734
24.233,23.593
26.591,26.27
25.383,24.857
25.241,25.104
21.909,21.765
24.528,24.447
25.247,25.068
25.737,25.326
24.768,24.233
23.866,22.18
24.167,22.979
24.511,23.098
26.065,25.535
26.561,26.344
23.543,23.354
24.902,24.603
26.725,26.175
24.824,24.686
18.9,18.758
20.196,19.782
23.769,23.443
26.569,24.754
24.054,23.969
23.196,23.118
21.68,21.558
22.979,22.122
23.673,23.043
25.592,25.445
23.965,22.59
20.768,20.671
23.891,22.205
26.551,25.422
26.306,25.866
23.44,23.165
22.109,21.021
23.114,22.728
23.006,21.78
26.376,26.185
26.469,26.219
25.149,24.961
26.113,25.873
23.682,22.237
22.217,21.293
25.643,25.33
24.521,24.108
20.659,20.562
23.746,23.599
26.773,26.545
26.05,25.766
25.269,24.951
26.927,26.507
21.621,21.33
24.3,22.82
20.665,20.569
25.048,24.631
25.703,24.14
23.142,21.199
25.677,24.288
24.44,24.063
25.667,25.32
26.513,25.953
19.858,18.522
21.653,20.019
26.046,23.869
20.223,20.158
21.505,20.226
24.923,24.554
24.279,24.078
24.831,24.569
25.126,22.729
26.847,26.557
26.698,26.329
21.621,20.593
24.482,23.88
25.078,24.808
22.58,22.374
22.834,22.603
22.283,22.193
26.848,26.562
23.312,21.333
24.015,22.73
26.001,25.538
25.633,25.165
25.733,25.186
22.545,21.787
20.643,20.527
22.64,22.531
26.137,25.616
23.358,23.239
25.529,25.32
24.6,23.267
23.784,23.454
26.52,26.291
25.597,23.887
25.925,25.488
25.923,25.631
23.754,23.461
24.658,24.451
25.674,25.431
24.228,21.607
22.145,20.981
19.263,19.201
26.528,26.112
24.358,22.617
22.975,22.679
26.024,25.729
24.602,22.566
24.967,24.648
23.31,22.167
26.859,26.646
22.559,22.373
25.553,25.226
20.163,20.024
25.908,24.127
26.461,25.515
26.886,25.89
26.947,26.376
22.383,22.31
25.151,24.581
24.523,24.275
24.607,24.334
21.895,21.78
25.617,25.285
22.14,21.323
22.905,22.638
25.736,25.485
25.339,25.161
25.252,24.863
26.833,26.456
20.69,20.466
25.071,24.137
26.302,25.917
26.21,25.598
25.996,25.673
23.323,23.096
23.337,23.004
25.945,25.423
26.148,25.903
24.241,24.017
21.621,21.543
26.243,25.662
21.324,20.395
24.308,24.226
24.026,23.813
25.709,24.817
22.556,21.711
26.572,26.121
25.069,24.671
21.934,20.31
26.931,25.201
26.675,26.179
19.625,18.635
24.72,24.486
24.066,23.864
26.735,26.085
22.795,22.69
24.897,22.828
26.379,25.91
21.425,20.992
21.139,20.925
18.925,18.526
26.454,26.109
24.188,24.116
24.492,24.411
26.913,26.426
23.661,21.4
24.082,23.591
25.629,25.502
26.143,25.609
25.848,25.409
24.979,24.112
25.244,24.839
26.299,25.606
25.165,25.081
26.986,26.618
26.895,25.775
26.388,25.77
26.634,24.431
23.395,23.12
23.539,22.388
26.676,25.475
21.956,21.23
26.068,25.638
26.184,25.663
24.023,22.619
26.213,25.671
24.827,24.43
24.512,23.549
26.446,26.302
24.621,24.433
25.733,25.17
23.888,23.622
26.542,26.126
17.221,17.161
21.459,20.287
21.497,21.403
26.922,26.549
23.502,23.21
25.713,25.294
23.828,23.471
26.129,25.906
25.854,24.936
26.918,26.739
24.315,23.278
26.467,25.906
24.647,24.551
24.133,24.009
25.806,25.124
24.484,22.398
21.503,21.238
25.285,25.17
22.948,22.606
26.193,26.0
21.54,21.128
25.411,23.16
24.419,23.79
26.517,26.055
22.547,22.287
20.251,19.379
25.138,24.8
25.749,25.48
26.524,26.315
20.995,20.519
25.154,24.818
22.325,22.066
25.695,25.234
22.049,20.595
18.834,17.51
20.039,19.815
23.967,22.94
23.358,22.694
24.391,24.093
24.595,24.524
25.616,25.168
26.652,26.308
25.877,25.762
24.658,23.358
26.763,26.305
24.07,22.19
22.268,21.408
26.921,26.302
26.655,26.303
19.233,19.121
26.37,26.094
24.992,24.401
24.227,23.817
23.71,23.312
24.277,22.793
26.842,26.413
20.246,19.528
26.281,25.837
25.229,24.57
18.699,17.345
24.461,24.195
25.399,24.791
26.864,26.309
19.592,19.049
25.16,24.843
26.526,24.121
26.549,26.198
18.245,18.044
24.212,23.942
21.015,20.45
25.743,24.633
25.981,25.693
25.528,22.954
24.385,23.867
24.168,22.938
26.988,26.595
25.457,24.217
23.416,23.268
25.06,24.549
20.431,19.069
23.896,23.661
24.895,23.259
26.011,23.64
23.76,23.619
25.209,25.085
23.695,23.574
23.915,23.55
21.976,21.699
20.316,19.215
22.661,22.166
24.651,24.165
24.683,24.531
19.449,19.064
18.721,18.428
25.818,25.222
24.737,24.336
22.148,21.904
26.829,26.387
22.155,22.276
23.114,21.921
21.606,20.527
25.909,25.641
20.318,20.243
22.989,22.116
26.72,26.36
20.093,19.0
23.108,22.992
23.676,23.17
22.433,22.358
19.235,19.048
26.632,26.257
23.561,23.131
17.991,17.608
24.33,23.924
26.336,25.982
24.958,24.35
19.663,19.29
22.261,21.808
26.891,26.297
26.763,26.3
21.056,20.034
25.58,25.066
