rmag,imag
26.111,25.336
26.472,26.151
25.819,25.491
24.749,24.255
25.925,25.825
25.667,25.248
19.684,19.016
24.885,24.357
26.933,26.36
25.454,24.293
26.748,26.336
25.739,25.49
22.845,22.447
26.702,26.229
25.225,24.721
20.262,20.051
24.424,23.501
22.953,22.847
26.584,26.227
25.663,25.139
24.195,23.263
26.17,25.956
21.342,19.713
25.012,24.632
22.908,22.666
26.315,25.656
22.38,21.957
23.603,23.297
23.633,23.483
26.78,26.51
24.793,24.474
22.204,22.027
25.929,25.41
14.384,14.109
18.689,17.43
26.615,24.013
21.642,20.08
25.295,24.764
23.996,23.844
25.779,25.426
24.207,23.34
12.931,12.643
21.508,20.65
23.282,23.108
22.511,22.245
21.86,21.029
25.943,25.498
24.287,24.046
26.646,26.117
26.682,26.077
25.129,24.568
22.069,21.869
23.737,22.795
26.182,25.732
25.541,24.774
26.811,26.267
22.255,21.793
21.358,20.699
25.025,22.753
24.348,23.846
26.728,26.318
23.346,23.19
26.491,26.064
26.802,26.316
25.906,25.465
23.784,21.78
26.813,24.91
26.131,25.727
26.596,26.001
21.576,21.398
26.965,26.777
23.385,23.17
24.583,23.298
26.759,26.245
24.718,24.549
23.15,22.105
26.448,25.771
23.026,22.65
18.815,18.742
21.641,21.561
19.149,19.012
25.372,23.058
24.133,23.631
23.926,21.82
25.264,25.195
25.78,25.171
24.712,24.596
26.146,25.763
25.846,23.706
22.844,22.547
26.837,26.638
26.093,25.841
23.995,21.852
20.477,18.596
23.368,23.198
25.362,25.004
26.673,26.245
25.939,23.39
26.722,26.503
26.94,26.388
22.507,21.553
21.183,21.051
22.082,22.31
26.883,26.408
25.055,24.959
26.857,26.591
22.157,22.08
26.498,26.059
26.343,25.698
26.307,25.695
26.838,26.467
26.261,25.773
24.44,24.325
26.163,25.939
25.26,24.718
20.558,20.463
21.896,21.772
26.999,24.638
24.385,24.12
24.208,22.876
22.791,21.787
26.255,24.196
25.564,25.266
24.336,22.434
17.318,17.202
24.472,24.114
26.737,25.933
20.47,20.391
26.22,23.945
22.205,22.045
22.354,20.966
22.954,22.728
26.233,25.833
26.824,26.471
18.175,17.299
24.917,24.518
25.208,25.066
26.399,26.097
17.092,15.79
26.474,26.27
24.941,24.865
19.819,18.522
25.598,25.096
25.155,24.767
23.323,22.963
26.701,24.209
18.994,17.875
26.73,26.317
17.291,17.143
25.993,25.818
19.23,18.958
25.513,25.18
22.169,21.867
22.933,22.324
26.631,24.482
25.993,25.9
26.959,26.46
26.204,25.565
25.094,24.869
24.031,23.546
25.725,25.37
23.837,23.487
25.716,25.122
25.704,25.578
24.899,24.291
25.548,24.085
26.023,25.73
24.717,24.364
21.698,20.851
22.61,22.314
24.223,24.078
25.926,25.646
26.818,24.528
23.318,23.086
22.553,21.458
22.512,22.144
26.183,25.839
25.293,24.838
24.758,24.157
22.841,22.055
19.772,19.562
22.308,22.161
23.206,22.941
26.521,26.103
20.557,20.318
23.813,23.173
19.077,18.449
22.495,22.414
25.318,24.883
23.814,23.384
22.8,22.396
22.223,20.356
25.367,24.894
20.732,20.651
25.232,24.727
26.634,26.243
25.158,24.841
23.07,22.716
25.092,24.625
19.51,18.487
24.522,24.398
22.336,22.078
25.551,25.176
26.179,25.472
24.102,23.644
25.052,24.53
25.431,24.854
25.143,24.182
17.648,17.139
19.838,19.731
15.804,15.485
23.233,22.552
25.936,25.323
21.511,21.44
25.376,24.816
26.018,25.709
26.163,25.996
23.973,23.006
26.509,26.044
26.506,26.168
20.779,20.345
21.24,20.997
21.846,21.659
26.179,25.934
26.015,25.72
25.478,24.405
22.831,21.853
25.496,25.166
24.456,24.374
20.517,20.291
18.813,18.085
20.49,20.288
22.896,21.196
23.767,23.682
24.803,22.278
25.048,25.141
26.602,25.999
26.536,26.117
25.435,25.047
22.059,21.736
23.463,23.29
26.93,26.174
26.329,26.139
26.27,25.66
19.664,19.158
26.883,26.389
25.772,25.418
24.702,24.25
24.573,23.126
24.295,23.757
23.448,22.946
24.304,22.987
25.884,23.756
26.441,25.981
22.212,22.078
26.091,25.887
24.755,24.187
25.137,24.713
26.524,25.726
22.944,22.622
20.029,19.743
23.473,23.019
22.175,21.751
18.641,18.368
25.074,24.626
23.852,23.344
26.932,26.501
21.034,19.555
25.505,24.143
21.972,21.618
22.393,21.375
26.954,26.761
26.951,24.348
23.717,22.861
25.013,24.676
23.541,22.94
26.41,25.947
22.421,22.137
23.026,22.702
24.952,24.679
26.056,25.579
20.865,20.745
26.401,25.928
26.07,25.585
26.908,26.358
26.882,24.594
24.769,24.466
24.06,23.827
23.283,22.266
25.499,24.768
21.221,20.928
26.343,25.815
24.747,24.674
22.121,21.567
19.66,19.198
25.518,25.432
25.434,25.014
23.998,22.037
26.523,25.918
22.1,20.886
18.647,17.155
22.848,22.763
21.036,20.251
22.547,20.864
26.129,25.509
23.701,23.214
23.832,22.16
22.746,22.505
24.543,24.301
22.638,21.648
26.461,26.093
22.401,22.22
25.684,25.332
26.548,26.205
21.878,21.675
22.927,21.581
21.268,21.169
25.551,25.155
21.725,20.469
21.651,21.268
21.08,19.641
21.293,20.99
26.772,26.331
20.362,20.204
25.687,25.28
24.653,22.606
24.174,23.997
22.841,21.643
24.55,24.114
19.012,18.651
26.799,26.139
25.297,22.81
26.223,25.6
24.16,23.643
14.393,14.319
25.094,24.548
19.345,19.169
25.455,25.102
24.079,23.456
23.326,22.663
18.824,17.457
25.648,25.137
24.208,23.844
23.702,23.572
19.766,18.822
25.744,23.173
26.875,24.572
26.31,26.144
26.87,24.411
23.94,23.724
26.616,24.218
20.335,20.13
23.369,22.383
25.48,24.895
25.803,25.367
25.731,25.163
25.298,24.845
26.267,25.794
26.622,25.8
22.555,22.277
26.994,26.491
24.922,24.375
23.028,22.629
24.176,24.123
26.232,25.408
25.785,24.784
21.013,20.802
26.935,26.675
23.865,23.456
19.668,19.552
23.568,23.381
26.322,25.958
24.351,23.51
24.821,24.759
22.528,22.365
25.334,23.757
21.093,20.012
25.127,24.553
21.915,20.341
24.034,23.396
25.518,24.962
25.067,24.541
19.937,18.808
24.641,22.725
24.929,24.564
25.367,25.111
25.955,25.802
21.971,20.469
23.467,23.24
24.097,23.736
26.734,26.281
19.42,18.316
25.617,23.598
20.416,19.718
20.807,19.539
18.3,17.255
26.833,26.497
26.041,25.845
25.582,25.136
23.912,23.782
23.093,21.657
26.512,26.033
23.368,23.165
23.627,23.069
24.308,24.072
25.012,24.959
25.275,24.854
21.825,21.693
22.967,22.774
25.931,23.891
25.752,25.543
23.628,23.148
26.509,26.119
25.749,25.394
22.492,22.182
26.913,26.721
11.437,11.317
24.501,23.919
23.833,22.038
