obj_num,RA,DEC,objectId,refBand,refExtendedness,detect_fromBlend,detect_isIsolated,parentObjectId,u_cModelMag,u_psfMag,u_psf_minus_cModel,u_extendedness,u_blendedness,g_cModelMag,g_psfMag,g_psf_minus_cModel,g_extendedness,g_blendedness,r_cModelMag,r_psfMag,r_psf_minus_cModel,r_extendedness,r_blendedness,i_cModelMag,i_psfMag,i_psf_minus_cModel,i_extendedness,i_blendedness,z_cModelMag,z_psfMag,z_psf_minus_cModel,z_extendedness,z_blendedness,y_cModelMag,y_psfMag,y_psf_minus_cModel,y_extendedness,y_blendedness,hst_id,hst_label,hst_sep_arcsec,hst_acs_mu_class,hst_flag_combined
1,149.98485967327252,2.217304937182979,788013523996276729,i,1.0,True,False,788013523996249649,22.134353617225972,23.038645879929337,0.9042922627033647,1.0,-7.538936138153076,21.23852748352369,22.272739865647463,1.0342123821237728,1.0,-47.14982986450195,20.838110850067878,21.801445214009505,0.9633343639416267,1.0,-39.43045425415039,20.61565605478672,21.70693421916649,1.0912781643797729,1.0,-34.49033737182617,20.563750174541035,21.53527477015315,0.9715245956121166,1.0,-15.290952682495117,20.51393256982707,21.472635814387615,0.9587032445605459,1.0,-5.434725761413574,139878,0,0.026396160874480473,2,0
2,149.87776931318763,2.5194233684297895,788014967105286505,i,1.0,True,False,788014967105260579,22.066666559267308,22.754893752472483,0.6882271932051758,1.0,-11.200515747070312,21.364533156815405,22.109136609703118,0.7446034528877128,1.0,-62.343162536621094,21.03752900768672,21.77672932084028,0.7392003131535567,1.0,-44.7568244934082,20.74729852848132,21.63912121461346,0.8918226861321408,1.0,-30.57335090637207,20.6637893328728,21.529904220084344,0.8661148872115447,,-15.75859260559082,20.63649959748091,21.462816020246116,0.8263164227652062,,-4.712686061859131,595060,0,0.09718013178126439,2,0
3,149.55111240770648,2.641622605793628,788015791739003960,i,1.0,True,False,788015791738980361,23.547618002145548,23.980684198261756,0.4330661961162079,,-2.4850311279296875,22.542556967012892,23.226176668028945,0.6836197010160525,,-15.508882522583008,21.59272927275506,22.230312629637258,0.637583356882196,1.0,-29.844587326049805,20.929043543690373,21.65266191484306,0.7236183711526856,1.0,-36.849281311035156,20.606624921957597,21.27358325739575,0.666958335438153,1.0,-21.461896896362305,20.432548921725914,21.074843747324383,0.6422948255984693,1.0,-7.326664447784424,182451,0,0.10152191271538395,2,0
4,149.7028340508988,2.682793924659657,788015723019531837,i,1.0,True,False,788015723019504767,24.568902582434866,25.084185335535395,0.5152827531005286,1.0,-0.8839007616043091,22.45015358371694,22.996350212236642,0.5461966285197022,1.0,-26.24333381652832,21.278648371322593,21.854973600943502,0.5763252296209096,1.0,-47.654197692871094,20.715298959828345,21.373294198114404,0.657995238286059,1.0,-49.17646026611328,20.451618008619832,21.094130264432035,0.6425122558122034,1.0,-27.990549087524414,20.315466072261678,20.925145289811457,0.6096792175497789,1.0,-10.673144340515137,474539,0,0.13297280899111324,2,0
5,149.55241107918567,2.590757209831191,788015791739001246,i,1.0,True,False,788015791738979091,23.633137356483495,24.12586936451404,0.4927320080305435,1.0,-1.8973541259765625,22.537877305620796,23.082069416362387,0.5441921107415908,1.0,-22.199525833129883,21.649379233355116,22.181962320356643,0.5325830870015267,1.0,-35.501869201660156,21.1914706665423,21.803057537295224,0.6115868707529231,1.0,-39.64409637451172,20.947981083292646,21.523464350554747,0.5754832672621006,1.0,-17.00840950012207,20.507623773216423,21.05951568722824,0.5518919140118186,1.0,-7.47147798538208,633914,0,0.009699555226118083,2,0
6,150.18129879788566,1.724555624740534,788011393692500378,i,1.0,True,False,788011393692471388,22.69237806244927,23.10336514374283,0.41098708129356254,1.0,-14.3518705368042,21.736671373678043,22.222983315431858,0.4863119417538151,1.0,-76.72869873046875,21.22446650753753,21.728719308276595,0.5042528007390636,1.0,-71.40512084960938,20.908184934017456,21.541270110632983,0.633085176615527,1.0,-43.23217010498047,20.79353700903394,21.38481205363062,0.5912750445966779,,-22.610326766967773,20.748711939402703,21.30686856079791,0.5581566213952058,,-7.597686767578125,268910,0,0.11728420043082792,2,0
7,149.8367730432884,1.7431784790502698,788012218326211332,i,1.0,True,False,788012218326188492,24.264822013294364,24.63292338816969,0.36810137487532657,1.0,-1.5309957265853882,21.76838677533908,22.17919827243593,0.41081149709684794,1.0,-59.6515998840332,20.49325597840996,20.90114695191997,0.40789097351001047,1.0,-132.99462890625,19.611161851932863,20.070579955471096,0.4594181035382334,1.0,-175.2994384765625,19.217640815853237,19.657779893704895,0.44013907785165785,1.0,-127.5455322265625,19.03664392886946,19.482884095991658,0.4462401671221983,1.0,-38.73270034790039,307325,0,0.09962618586574108,2,1
8,149.76419360890304,2.3219057560344547,788014279910518296,i,1.0,True,False,788014279910492541,23.100448323772405,23.454257619074237,0.3538092953018328,,-5.1427412033081055,22.43063361721235,22.823079647677403,0.39244603046505233,1.0,-28.53165626525879,21.780605553201518,22.154291469179146,0.373685915977628,1.0,-36.151634216308594,21.516880240183674,21.975877897171348,0.45899765698767325,1.0,-37.0759391784668,21.47561459239804,21.854653549578877,0.379038957180839,1.0,-15.103641510009766,21.293428282337356,21.658720450194778,0.36529216785742236,1.0,-5.457242012023926,418615,0,0.14672161297536318,2,0
9,150.54695454695727,2.158465795925565,788013317837843672,i,1.0,True,False,788013317837818189,23.344391577538687,23.702791220044404,0.35839964250571654,,-3.9500467777252197,22.0291261509697,22.385571823859074,0.35644567288937523,1.0,-43.646026611328125,21.076669174923374,21.395464767404874,0.3187955924815,1.0,-81.65570831298828,20.545253159432384,20.917081257073917,0.3718280976415329,1.0,-99.76423645019531,20.28280213417648,20.617111192119445,0.3343090579429635,1.0,-52.376686096191406,20.117595093478297,20.424331271871324,0.30673617839302736,1.0,-18.69404411315918,583165,0,0.018057856053141686,2,0
10,150.47948552945718,2.650157958711128,788015379422144837,i,1.0,True,False,788015379422120156,23.12535638390873,23.37736622283366,0.25200983892493056,0.0,-7.337337017059326,22.272230347387925,22.564638002927452,0.2924076555395274,1.0,-48.796390533447266,21.87373564063611,22.16910530338618,0.29536966275006904,1.0,-48.03240203857422,21.573419509604296,21.956634665538438,0.3832151559341419,1.0,-33.213680267333984,21.38794572509969,21.778733333649168,0.39078760854947703,,-16.10331153869629,21.266459928878266,21.581923317104454,0.31546338822618836,,-5.301170349121094,277480,0,0.08453468947571839,2,0
