# DP2 COSMOS cutout sample: paper
#
# Sample: paper - dm > 0.05, 20 < r < 22, sorted by dm desc
# Cuts applied:
#     base sample                                 4,055
#     dm > 0.05                                   1,780
#     20 < r < 22                                    41
# Sorted by r_psf_minus_cModel (descending); obj_num is 1..N in that order.
#
# 41 objects
#
#  N  objectId         RA        DEC   r_mag      dm   u_mag   g_mag   i_mag   z_mag   y_mag  blend  isol  hst_sep
# ----------------------------------------------------------------------------------------------------------------
   1  788013523996276729  149.984860   2.217305  20.838   0.963  22.134  21.239  20.616  20.564  20.514      Y     N   0.0264
   2  788014967105286505  149.877769   2.519423  21.038   0.739  22.067  21.365  20.747  20.664  20.636      Y     N   0.0972
   3  788015791739003960  149.551112   2.641623  21.593   0.638  23.548  22.543  20.929  20.607  20.433      Y     N   0.1015
   4  788015723019531837  149.702834   2.682794  21.279   0.576  24.569  22.450  20.715  20.452  20.315      Y     N   0.1330
   5  788015791739001246  149.552411   2.590757  21.649   0.533  23.633  22.538  21.191  20.948  20.508      Y     N   0.0097
   6  788011393692500378  150.181299   1.724556  21.224   0.504  22.692  21.737  20.908  20.794  20.749      Y     N   0.1173
   7  788012218326211332  149.836773   1.743178  20.493   0.408  24.265  21.768  19.611  19.218  19.037      Y     N   0.0996
   8  788014279910518296  149.764194   2.321906  21.781   0.374  23.100  22.431  21.517  21.476  21.293      Y     N   0.1467
   9  788013317837843672  150.546955   2.158466  21.077   0.319  23.344  22.029  20.545  20.283  20.118      Y     N   0.0181
  10  788015379422144837  150.479486   2.650158  21.874   0.295  23.125  22.272  21.573  21.388  21.266      Y     N   0.0845
  11  788013592715746748  149.905620   2.084587  21.886   0.291  21.844  21.603  21.978  22.334  22.266      Y     N   0.0410
  12  788011599850922091  149.717556   1.604896  21.476   0.275  24.886  22.880  20.071  19.417  19.095      Y     N   0.0591
  13  788012218326211883  149.755560   1.757814  21.990   0.219  23.899  22.685  21.704  21.567  21.430      Y     N   0.0741
  14  788011462411969794  149.970898   1.630044  21.989   0.217  25.513  23.223  20.825  20.309  20.070      Y     N   0.0359
  15  788014829666328985  150.177906   2.458231  21.837   0.193  23.504  22.803  20.914  20.473  20.204      Y     N   0.0280
  16  788012149606741403  150.078220   1.830390  20.644   0.161  24.370  21.834  19.354  18.771  18.504      Y     N   0.0282
  17  788013661435228454  149.624199   2.180651  21.766   0.150  23.085  22.489  21.678  21.267  20.906      Y     N   0.0271
  18  788011668570400676  149.518649   1.609682  21.995   0.106  23.586  22.707  21.601  21.410  21.288      Y     N   0.0331
  19  788016341494821155  149.790420   2.863658  20.923   0.105  24.785  22.205  20.025  19.616  19.412      Y     N   0.1140
  20  788015585580577119  150.060475   2.667650  21.677   0.103  23.019  22.103  21.508  21.448  21.396      Y     N   0.0257
  21  788015516861102869  150.094533   2.702866  21.671   0.089  22.067  21.776  21.585  21.564  21.564      Y     N   0.0496
  22  788016341494818899  149.903437   2.818249  20.703   0.081  23.321  21.880  19.759  19.293  19.087      Y     N   0.0210
  23  788012218326216146  149.855113   1.827304  21.473   0.076  25.282  22.791  20.642  20.263  20.060      Y     N   0.0231
  24  788014211191037330  149.992047   2.268742  20.418   0.073  23.333  21.511  19.891  19.642  19.497      Y     N   0.2521
  25  788015035824759080  149.698757   2.441230  21.430   0.073  22.345  22.002  20.989  21.037  20.850      Y     N   0.0079
  26  788014967105282294  149.881002   2.450834  21.398   0.072  22.034  21.803  21.242  21.108  20.967      Y     N   0.0142
  27  788014829666327899  150.238116   2.445925  21.507   0.072  24.574  22.559  21.084  20.883  20.763      Y     N   0.0184
  28  788012080887267077  150.139115   1.876967  20.775   0.071  21.343  20.941  20.617  20.316  20.292      Y     N   0.0040
  29  788015310702672733  150.662907   2.720420  21.355   0.066  25.047  22.737  19.919  19.261  18.926      Y     N   0.0983
  30  788016272775341678  149.926572   2.792579  21.731   0.066  22.992  22.139  21.510  21.428  21.447      Y     N   0.0435
  31  788014967105279628  149.884138   2.401946  21.702   0.065  24.890  23.021  20.867  20.461  20.173      Y     N   0.0596
  32  788012974240457689  149.668786   1.954010  20.840   0.063  25.179  22.266  19.690  19.171  18.928      Y     N   0.0870
  33  788012561923594764  150.620429   1.901416  21.880   0.063  23.246  22.318  21.676  21.598  21.602      Y     N   0.0376
  34  788012561923598965  150.660934   1.975345  21.437   0.060  21.972  21.624  21.314  21.125  20.813      Y     N   0.0124
  35  788015791739003226  149.533959   2.626402  21.321   0.059  23.189  21.923  21.055  20.963  20.880      Y     N   0.0642
  36  788016066616915594  150.511399   2.850762  21.672   0.056  21.781  21.703  21.607  21.584  21.527      Y     N   0.2515
  37  788015310702670864  150.716468   2.693342  21.845   0.056  26.492  23.057  20.643  20.085  19.837      Y     N   0.1807
  38  788015379422140658  150.556622   2.584395  21.528   0.055  24.111  22.737  20.655  20.216  20.028      Y     N   0.0540
  39  788015585580580956  150.058549   2.730342  21.954   0.054  22.557  22.252  21.772  21.420  21.225      Y     N   0.0139
  40  788014623507905012  150.723623   2.557265  20.930   0.052  24.901  22.267  20.091  19.704  19.508      Y     N   0.0665
  41  788012905520979592  149.905592   1.900656  20.926   0.052  22.212  21.336  20.774  20.710  20.670      Y     N   0.0169
