# DP2 COSMOS cutout sample: full
#
# Sample: full - r < 23, no dm cut, sorted by dm desc
# Cuts applied:
#     base sample                                 4,055
#     r < 23                                        443
# Sorted by r_psf_minus_cModel (descending); obj_num is 1..N in that order.
#
# 443 objects
#
#  N  objectId         RA        DEC   r_mag      dm   u_mag   g_mag   i_mag   z_mag   y_mag  blend  isol  hst_sep
# ----------------------------------------------------------------------------------------------------------------
   1  788011324973016747  150.276072   1.638185  22.399   1.972  23.854  23.023  22.224  22.084  21.959      Y     N   0.0425
   2  788013523996276729  149.984860   2.217305  20.838   0.963  22.134  21.239  20.616  20.564  20.514      Y     N   0.0264
   3  788014623507904010  150.730487   2.537086  22.727   0.884  25.075  23.589  22.337  22.216  22.099      Y     N   0.1120
   4  788014967105286505  149.877769   2.519423  21.038   0.739  22.067  21.365  20.747  20.664  20.636      Y     N   0.0972
   5  788014211191035826  149.924520   2.250037  22.475   0.728  23.552  22.961  22.208  21.997  21.795      Y     N   0.1359
   6  788015035824763517  149.587271   2.521510  22.369   0.718  23.872  23.152  22.092  21.955  21.823      Y     N   0.0149
   7  788015791739003960  149.551112   2.641623  21.593   0.638  23.548  22.543  20.929  20.607  20.433      Y     N   0.1015
   8  788015723019531837  149.702834   2.682794  21.279   0.576  24.569  22.450  20.715  20.452  20.315      Y     N   0.1330
   9  788011324973018782  150.410229   1.669518  22.216   0.546  24.437  23.327  21.519  21.229  21.122      Y     N   0.2130
  10  788015791739001246  149.552411   2.590757  21.649   0.533  23.633  22.538  21.191  20.948  20.508      Y     N   0.0097
  11  788011393692500378  150.181299   1.724556  21.224   0.504  22.692  21.737  20.908  20.794  20.749      Y     N   0.1173
  12  788011874728828024  150.596831   1.746071  22.971   0.491  26.040  24.180  22.360  21.983  21.826      Y     N   0.1290
  13  788012012167788075  150.271438   1.846705  22.250   0.472  25.122  23.499  21.252  20.842  20.624      Y     N   0.1150
  14  788012561923595207  150.591112   1.899543  22.831   0.459  24.939  23.945  22.390  22.146  21.977      Y     N   0.0890
  15  788013592715745942  149.758434   2.066638  22.435   0.442  24.027  23.530  21.574  20.980  20.722      Y     N   0.0639
  16  788012218326211332  149.836773   1.743178  20.493   0.408  24.265  21.768  19.611  19.218  19.037      Y     N   0.0996
  17  788014279910518296  149.764194   2.321906  21.781   0.374  23.100  22.431  21.517  21.476  21.293      Y     N   0.1467
  18  788011393692493319  150.159622   1.618967  22.140   0.364  22.834  22.697  22.087  21.919  21.941      Y     N   0.0067
  19  788012630643075789  150.451329   1.973055  19.593   0.363  20.741  19.916  19.446  19.387  19.376      Y     N   0.0969
  20  788013523996274223  150.024935   2.160023  22.264   0.356  23.793  23.127  21.714  21.458  21.330      Y     N   0.1778
  21  788012287045696255  149.597890   1.868018  18.472   0.353  21.795  19.459  18.052  17.869  17.753      Y     N   0.2601
  22  788011393692493416  150.228543   1.622785  22.882   0.335  26.343  24.249  21.090  20.259  19.832      Y     N   0.2297
  23  788013317837843672  150.546955   2.158466  21.077   0.319  23.344  22.029  20.545  20.283  20.118      Y     N   0.0181
  24  788015379422144837  150.479486   2.650158  21.874   0.295  23.125  22.272  21.573  21.388  21.266      Y     N   0.0845
  25  788013592715746748  149.905620   2.084587  21.886   0.291  21.844  21.603  21.978  22.334  22.266      Y     N   0.0410
  26  788011599850922091  149.717556   1.604896  21.476   0.275  24.886  22.880  20.071  19.417  19.095      Y     N   0.0591
  27  788015516861104116  150.147053   2.717480  22.612   0.264  23.850  23.283  22.442  21.945  21.450      Y     N   0.0372
  28  788011393692494910  150.100370   1.653746  22.899   0.244  25.432  23.948  22.405  22.242  22.040      Y     N   0.0675
  29  788012630643078426  150.460519   2.011800  22.869   0.241  24.337  23.687  21.812  21.232  20.920      Y     N   0.0269
  30  788012699362554791  150.253398   1.996575  22.001   0.234  22.648  22.466  21.896  21.765  21.439      Y     N   0.0161
  31  788016341494819184  149.768993   2.824978  22.496   0.220  24.257  23.032  22.325  22.266  22.100      Y     N   0.0491
  32  788012218326211883  149.755560   1.757814  21.990   0.219  23.899  22.685  21.704  21.567  21.430      Y     N   0.0741
