panel,category,mag_low,mag_high,count,notes,median_flux_err_over_flux,p16_flux_err_over_flux,p84_flux_err_over_flux
counts_vs_rmag,DP2-only,16.0,16.5,147,,,,
counts_vs_rmag,DP2-only,16.5,17.0,333,,,,
counts_vs_rmag,DP2-only,17.0,17.5,402,,,,
counts_vs_rmag,DP2-only,17.5,18.0,518,,,,
counts_vs_rmag,DP2-only,18.0,18.5,483,,,,
counts_vs_rmag,DP2-only,18.5,19.0,576,,,,
counts_vs_rmag,DP2-only,19.0,19.5,874,,,,
counts_vs_rmag,DP2-only,19.5,20.0,1309,,,,
counts_vs_rmag,DP2-only,20.0,20.5,1811,,,,
counts_vs_rmag,DP2-only,20.5,21.0,2617,,,,
counts_vs_rmag,DP2-only,21.0,21.5,3699,,,,
counts_vs_rmag,DP2-only,21.5,22.0,5189,,,,
counts_vs_rmag,DP2-only,22.0,22.5,7393,,,,
counts_vs_rmag,DP2-only,22.5,23.0,10417,,,,
counts_vs_rmag,DP2-only,23.0,23.5,15570,,,,
counts_vs_rmag,DP2-only,23.5,24.0,23489,,,,
counts_vs_rmag,DP2-only,24.0,24.5,34147,,,,
counts_vs_rmag,DP2-only,24.5,25.0,46422,,,,
counts_vs_rmag,DP2-only,25.0,25.5,60898,,,,
counts_vs_rmag,DP2-only,25.5,26.0,78442,,,,
counts_vs_rmag,matched stars,16.0,16.5,0,,,,
counts_vs_rmag,matched stars,16.5,17.0,0,,,,
counts_vs_rmag,matched stars,17.0,17.5,0,,,,
counts_vs_rmag,matched stars,17.5,18.0,7,,,,
counts_vs_rmag,matched stars,18.0,18.5,134,,,,
counts_vs_rmag,matched stars,18.5,19.0,229,,,,
counts_vs_rmag,matched stars,19.0,19.5,312,,,,
counts_vs_rmag,matched stars,19.5,20.0,363,,,,
counts_vs_rmag,matched stars,20.0,20.5,401,,,,
counts_vs_rmag,matched stars,20.5,21.0,535,,,,
counts_vs_rmag,matched stars,21.0,21.5,695,,,,
counts_vs_rmag,matched stars,21.5,22.0,800,,,,
counts_vs_rmag,matched stars,22.0,22.5,805,,,,
counts_vs_rmag,matched stars,22.5,23.0,913,,,,
counts_vs_rmag,matched stars,23.0,23.5,1062,,,,
counts_vs_rmag,matched stars,23.5,24.0,1130,,,,
counts_vs_rmag,matched stars,24.0,24.5,1388,,,,
counts_vs_rmag,matched stars,24.5,25.0,1700,,,,
counts_vs_rmag,matched stars,25.0,25.5,1777,,,,
counts_vs_rmag,matched stars,25.5,26.0,1548,,,,
counts_vs_rmag,matched galaxies,16.0,16.5,6,,,,
counts_vs_rmag,matched galaxies,16.5,17.0,9,,,,
counts_vs_rmag,matched galaxies,17.0,17.5,35,,,,
counts_vs_rmag,matched galaxies,17.5,18.0,62,,,,
counts_vs_rmag,matched galaxies,18.0,18.5,113,,,,
counts_vs_rmag,matched galaxies,18.5,19.0,198,,,,
counts_vs_rmag,matched galaxies,19.0,19.5,361,,,,
counts_vs_rmag,matched galaxies,19.5,20.0,585,,,,
counts_vs_rmag,matched galaxies,20.0,20.5,938,,,,
counts_vs_rmag,matched galaxies,20.5,21.0,1553,,,,
counts_vs_rmag,matched galaxies,21.0,21.5,2336,,,,
counts_vs_rmag,matched galaxies,21.5,22.0,3490,,,,
counts_vs_rmag,matched galaxies,22.0,22.5,5513,,,,
counts_vs_rmag,matched galaxies,22.5,23.0,9071,,,,
counts_vs_rmag,matched galaxies,23.0,23.5,14436,,,,
counts_vs_rmag,matched galaxies,23.5,24.0,23445,,,,
counts_vs_rmag,matched galaxies,24.0,24.5,36029,,,,
