field,band,mag_bin,muU,sigmaU,wU,wR1,muR1,sigmaR1,alphaR1,wR2,muR2,sigmaR2,alphaR2,wR3,muR3,sigmaR3,alphaR3
ECDFS,u,16.0-16.5,0.002440,0.005253,1.000000,0.000000,0.200000,0.150000,3.000000,0.000000,0.500000,0.250000,3.000000,0.000000,0.900000,0.350000,3.000000
ECDFS,u,16.5-17.0,0.002440,0.005253,1.000000,0.000000,0.200000,0.150000,3.000000,0.000000,0.500000,0.250000,3.000000,0.000000,0.900000,0.350000,3.000000
ECDFS,u,17.0-17.5,0.002440,0.005253,1.000000,0.000000,0.200000,0.150000,3.000000,0.000000,0.500000,0.250000,3.000000,0.000000,0.900000,0.350000,3.000000
ECDFS,u,17.5-18.0,0.002440,0.005254,0.864773,0.091217,0.043287,0.011825,-9.850604,0.002256,1.428606,1.884482,4.686199,0.041755,0.075128,0.078155,-19.975699
ECDFS,u,18.0-18.5,0.002440,0.005255,0.709779,0.090816,0.020795,0.012749,-0.004714,0.001739,0.170015,1.339951,5.979637,0.197665,1.499996,1.171079,13.514790
ECDFS,u,18.5-19.0,0.002440,0.005259,0.582565,0.059101,0.036030,0.006363,-11.349971,0.009640,0.405570,0.360142,-17.972321,0.348694,1.403958,2.000000,4.049951
ECDFS,u,19.0-19.5,0.002440,0.005267,0.478151,0.261730,0.000590,0.002565,0.003178,0.086197,0.000000,0.015403,6.126464,0.173922,1.486660,0.448831,0.199534
ECDFS,u,19.5-20.0,0.002440,0.005286,0.392452,0.270171,0.003721,0.005493,-4.026227,0.287976,1.188170,1.132349,0.827824,0.049401,1.191531,0.160097,20.000000
ECDFS,u,20.0-20.5,0.002440,0.005330,0.322112,0.267239,0.005192,0.006535,-1.575357,0.303649,0.838155,1.220937,20.000000,0.106999,0.747352,0.485002,0.001710
ECDFS,u,20.5-21.0,0.002440,0.005433,0.264380,0.182758,0.681108,0.425996,0.145240,0.024566,0.648388,0.081982,19.858765,0.528296,0.842905,1.749675,15.412093
