field,band,mag_bin,star_fraction_wU,galaxy_fraction,log10_NG_NS
ECDFS,u,16.0-16.5,,,
ECDFS,u,16.5-17.0,,,
ECDFS,u,17.0-17.5,,,
ECDFS,u,17.5-18.0,0.864773,0.135227,-0.805839
ECDFS,u,18.0-18.5,0.709779,0.290221,-0.388394
ECDFS,u,18.5-19.0,0.582565,0.417435,-0.144755
ECDFS,u,19.0-19.5,0.478151,0.521849,0.037980
ECDFS,u,19.5-20.0,0.392452,0.607548,0.189795
ECDFS,u,20.0-20.5,0.322112,0.677888,0.323151
ECDFS,u,20.5-21.0,0.264380,0.735620,0.444426
ECDFS,u,21.0-21.5,0.216995,0.783005,0.557316
ECDFS,u,21.5-22.0,0.178102,0.821898,0.664148
ECDFS,u,22.0-22.5,0.146181,0.853819,0.766475
ECDFS,u,22.5-23.0,0.119981,0.880019,0.865380
ECDFS,u,23.0-23.5,0.098477,0.901523,0.961644
ECDFS,u,23.5-24.0,0.080826,0.919174,1.055844
ECDFS,u,24.0-24.5,0.066340,0.933660,1.148414
ECDFS,u,24.5-25.0,0.054450,0.945550,1.239689
ECDFS,u,25.0-25.5,0.044691,0.955309,1.329927
ECDFS,u,25.5-26.0,0.036681,0.963319,1.419333
COSMOS,u,16.0-16.5,,,
COSMOS,u,16.5-17.0,,,
COSMOS,u,17.0-17.5,0.999548,0.000452,-3.344950
COSMOS,u,17.5-18.0,0.836770,0.163230,-0.709807
COSMOS,u,18.0-18.5,0.700501,0.299499,-0.369013
COSMOS,u,18.5-19.0,0.586423,0.413577,-0.151654
COSMOS,u,19.0-19.5,0.490923,0.509077,0.015770
COSMOS,u,19.5-20.0,0.410975,0.589025,0.156318
COSMOS,u,20.0-20.5,0.344047,0.655953,0.280254
COSMOS,u,20.5-21.0,0.288019,0.711981,0.393048
COSMOS,u,21.0-21.5,0.241114,0.758886,0.497954
COSMOS,u,21.5-22.0,0.201848,0.798152,0.597060
COSMOS,u,22.0-22.5,0.168977,0.831023,0.691785
COSMOS,u,22.5-23.0,0.141459,0.858541,0.783131
COSMOS,u,23.0-23.5,0.118422,0.881578,0.871828
COSMOS,u,23.5-24.0,0.099137,0.900863,0.958424
COSMOS,u,24.0-24.5,0.082992,0.917008,1.043336
COSMOS,u,24.5-25.0,0.069477,0.930523,1.126888
COSMOS,u,25.0-25.5,0.058162,0.941838,1.209334
COSMOS,u,25.5-26.0,0.048691,0.951309,1.290877
ECDFS,g,16.0-16.5,,,
ECDFS,g,16.5-17.0,,,
ECDFS,g,17.0-17.5,0.900284,0.099716,-0.955616
ECDFS,g,17.5-18.0,0.737738,0.262262,-0.449166
ECDFS,g,18.0-18.5,0.604539,0.395461,-0.184320
ECDFS,g,18.5-19.0,0.495389,0.504611,0.008010
ECDFS,g,19.0-19.5,0.405946,0.594054,0.165357
ECDFS,g,19.5-20.0,0.332653,0.667347,0.302361
ECDFS,g,20.0-20.5,0.272592,0.727408,0.426265
ECDFS,g,20.5-21.0,0.223375,0.776625,0.541176
ECDFS,g,21.0-21.5,0.183045,0.816955,0.649640
ECDFS,g,21.5-22.0,0.149996,0.850004,0.753341
ECDFS,g,22.0-22.5,0.122914,0.877086,0.853440
ECDFS,g,22.5-23.0,0.100722,0.899278,0.950769
ECDFS,g,23.0-23.5,0.082537,0.917463,1.045942
ECDFS,g,23.5-24.0,0.067635,0.932365,1.139417
ECDFS,g,24.0-24.5,0.055423,0.944577,1.231546
ECDFS,g,24.5-25.0,0.045416,0.954584,1.322600
ECDFS,g,25.0-25.5,0.037217,0.962783,1.412793
ECDFS,g,25.5-26.0,0.030497,0.969503,1.502291
COSMOS,g,16.0-16.5,,,
COSMOS,g,16.5-17.0,0.959886,0.040114,-1.378918
